ID,Name,Lat,Lon,Lon2,Lat2,Elevation,zmax,A,Catchment_area,%Forest,%Mire,kd,TDN,TP,DOC,hc,ht,Wc,Wt,U10,Strat,DeltaDO,DOf
AC01,Skrapmiejaur,66.1342,16.1452,66.1319,16.1459, 875,6,6.8,438,0,12,0.43,56,5.4,1.6,0,2.2,1,0.54,2.65,1.9,0.142,10.6
AC02,Aitelnastjärnen,66.1047,16.1858,66.1024,16.1891,913,11,14,177,0,7,0.3,67,8.1,1.3,0,2,1,0.71,NA,9.2,-0.038,9.3
AC03,Mattekjaur,66.117,16.1853,66.1196,16.1826,951,28,12.2,51,0,0,0.19,32,7.8,0.5,0,4.1,1,0.37,3.42,53.8,-0.024,9.2
AC04,Lisvojaure,66.0927,16.2885,66.0873,16.2816,899,5,39.8,542,0,11,0.59,60,6.1,1.9,0,2.1,1,0.82,3.37,4.1,0.088,10.3
AC07,Båsatjaure,66.1228,16.2676,66.1203,16.2583,998,23,36.3,337,0,12,0.39,38,5.4,0.9,0,2.5,1,0.77,3.98,35,-0.064,7.9
AC08,Stor-Bissitj,66.0139,16.2486,66.0157,16.2522,663,13,12.7,1230,33,9,0.64,96,6.6,2.9,2.5,1.4,0.61,0.78,1.27,64.9,-0.104,3.9
AC09,Övre Buongukjaur,66.0125,16.2753,66.0116,16.2728,708,11,9.8,82,59,3,0.32,110,6.5,2.3,3.9,2.8,0.34,0.51,1.22,59,-0.134,3.2
AC10,Nedre Buongukjaur,66.0091,16.2712,NA,NA,718,4.9,5.5,25,68,10,0.66,140,8.6,3.7,3,1.6,0.32,0.62,NA,17.5,0.007,9.5
ZF02,Svartvikstjärnarna,64.045,13.166,NA,NA,684,3.5,5.1,220,0,0,0.7,115,5.1,2.9,0.4,2.9,0.9,0.32,NA,1,0.124,10.2
ZF03,Krutejaure,63.9226,13.4498,63.9197,13.4512,821,13.4,29.2,281,0,0,0.17,50,3.6,1,0,3.1,1,0.68,4.08,11.3,0.019,10.3
ZF04,Jille Skoulkenjaevrie,63.905,13.504,NA,NA,791,10.5,22.4,202,0,0,0.28,74,3.5,1,0,3,1,0.64,NA,13.8,0.011,10.9
